rmse,zcr,tempo,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.00041792975,0.08066253573755067,123.046875,5316.357231986444,5871.656820735335,13.148287021461812,0.030979944,13900.835958987767,-644.6222,94.998535,-23.552195,14.859529,21.829315,-11.589267,32.778587,-10.687249,14.125401,14.38231,-8.8478565,24.224014,-11.807598,12.683674,-1.4301517,1.723525,2.7210195,2.4269876,1.7468873,4.4081707,0
0.026926864,0.01714017036407064,129.19921875,2005.0096266548967,4510.653556320638,15.192168062968578,0.0009120147,2464.922095532354,-377.98898,173.16718,27.496756,4.3807573,18.441057,6.483478,23.167118,-0.58972996,11.454975,-3.3454351,3.2792013,6.769351,1.644827,-2.82546,2.354807,-7.3856997,3.8285484,-5.9311147,2.8517833,-3.23877,0
0.004822789,0.03003254831354951,123.046875,2642.0568970269355,4824.445225043504,16.477800066097313,0.0036435872,4453.133736474016,-553.91864,147.97061,18.205202,16.03527,28.321142,-1.6558659,18.824131,-2.1526935,16.020056,7.595066,2.986031,4.843467,-1.591897,-7.2135754,-5.880047,-7.6716228,1.1558753,-0.9207512,-0.57091075,-3.399848,0
0.01003778,0.03319973219455703,129.19921875,2782.1677096542053,4955.973774239195,16.182721161268045,0.004431808,4752.254490943471,-471.80615,154.20222,13.103451,0.15559773,17.170954,1.9675157,27.14093,-4.170734,9.118285,1.3103585,1.8458433,1.6583205,-6.2793527,-7.193614,-1.887766,-10.846702,-4.930068,-8.316663,1.4209623,-1.2543324,0
0.027476627,0.019006213357701217,123.046875,2091.5072033234715,4605.464421464582,15.578510185284248,0.00093673775,2581.4532573194124,-368.87137,177.45723,26.073565,-0.40349984,15.660387,4.0617676,26.73528,-1.8543309,11.107581,-5.1779046,2.682018,9.086373,3.722204,-1.4910082,1.5927119,-9.66452,2.7863348,-6.991093,3.8442364,-3.662073,0
0.004056059,0.03252484664519398,120.18531976744185,2957.702201133312,5110.757575779832,15.492727304417098,0.003750139,5316.294739794441,-526.0514,151.86864,8.985085,9.5368185,28.693214,-2.5241678,28.278124,-16.244873,3.3499212,-0.19778226,-3.4430327,10.871702,-8.393247,-4.388012,1.9774358,-6.86964,-2.7654626,-0.8819349,-0.6725868,1.6961403,0
0.00568495,0.04192037311812392,123.046875,3339.91882898633,5220.105531485463,15.81723328894215,0.006436202,6532.590299516864,-509.13904,133.34254,-0.9226313,9.0452,28.924946,-0.69013256,29.4022,-0.17148073,10.860908,0.96686023,-0.8889131,8.497503,-4.959438,-3.9660747,-2.0769262,-4.035836,-3.5836787,-5.3389897,-2.8587544,2.037964,0
0.006978921,0.036044882292269834,126.04801829268293,3113.8839649330916,5102.557494058916,16.47836410182186,0.007225119,6083.397956852562,-513.41504,140.73529,12.017888,10.938348,18.217342,-6.8854475,24.711548,-0.73840606,8.8815,0.28691408,1.4188265,10.457008,-5.240769,-6.817629,-4.9234734,-7.5265813,-1.3083832,-4.5525947,-1.2625697,2.5960956,0
0.010119793,0.03688120883396063,126.04801829268293,2822.7116045853077,4982.595104486683,17.351694166603217,0.0029700007,4689.624914048929,-472.58047,156.16286,14.32885,4.104763,18.442102,-8.92543,27.065693,-4.040951,10.061167,0.08300739,3.4436371,4.972928,-8.693767,-10.798361,-4.977597,-11.045618,-7.8963456,-10.5028,-1.6769668,-3.6074305,0
0.029049732,0.01842717456210191,120.18531976744185,1996.2781878846058,4476.011376803605,15.39042675550854,0.0008466768,2519.4346398650114,-377.21396,172.27287,30.22221,6.489855,18.135607,7.032046,23.5166,-2.2217677,10.230114,-3.294998,2.063245,7.343578,3.9519732,-0.907887,1.5353434,-8.908509,1.7258562,-6.506623,3.9271293,-2.9145174,0
0.005293214,0.03347879044224088,126.04801829268293,2803.424675132281,4968.733647320423,15.569579419372083,0.0042622737,4865.818135449841,-513.9306,151.57788,10.698484,8.00092,31.935736,2.318417,19.785143,-4.410582,10.303591,2.1049335,0.1689397,-2.5106256,2.003001,-0.7258184,-0.3291118,-6.135277,-2.166807,-1.4702599,2.867175,-1.1743029,0
0.032860596,0.018789922010712216,126.04801829268293,2095.6216823701507,4610.08061313154,15.289481923465825,0.0006947795,2534.9205913886076,-366.6125,167.98956,32.362106,1.9099988,10.15829,8.915122,21.203854,2.146607,9.441509,-3.1694078,3.9842637,5.51485,4.205408,-4.002574,-0.4779793,-10.084105,2.420727,-4.315917,3.949234,-3.233041,0
0.009393057,0.03640932614360162,126.04801829268293,3031.17424281108,5091.6826261896795,16.968542720627234,0.0050533176,5554.219801769687,-475.27972,147.80501,13.680227,5.4459753,13.840434,-9.880024,27.09073,3.267987,9.09832,-3.959719,0.51842433,7.5613003,-2.1418793,-8.811272,-6.24724,-9.646136,-5.155852,-5.5533304,-0.6710826,2.0558112,0
0.0052142567,0.04168824867906775,123.046875,3522.410712153675,5273.395037638005,15.003603813316278,0.007968619,7564.151674236393,-544.73663,129.91818,5.133704,11.258198,20.31171,3.169501,30.397743,1.3027556,15.696077,11.017485,2.5730681,12.55771,-6.926794,-1.758291,-2.2974272,-6.4388094,-0.5779226,-3.5413454,-1.7118397,-0.79324365,0
0.0025338535,0.04519838864360162,120.18531976744185,4199.713814899583,5498.503381580364,13.858367402712329,0.014025193,10073.44937481905,-605.7517,98.78091,5.3582563,24.541553,20.415262,5.204032,19.233713,1.0606844,9.828977,10.68714,0.122567356,12.706401,-1.5755472,3.278509,0.77423316,-2.6972973,0.107051,0.3298158,0.912955,3.4743843,0
0.039009206,0.013451342646207296,126.04801829268293,1843.5132274515038,4333.130992684038,16.399561202125827,0.00047148476,2296.7212210932976,-368.4935,170.46518,24.474833,10.413497,28.47145,6.1289673,28.32205,-1.1183648,17.211416,6.034672,8.278451,7.393123,-1.9805112,2.4849315,5.5028896,-7.7596083,0.8720019,-3.3766596,6.464587,-1.3773863,0
